Surveyor,Location,Period,StartTime,EndTime,StopSignType,Date,DayofWeek,Week,Weather,Compliance,VehicleType,OnlyVehicle,PedestrianPresence,Comment
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,o,No,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,o,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,c,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,sv,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,sv,No,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,o,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,c,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,c,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,c,No,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,c,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,sv,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,o,No,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,c,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,c,No,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,sv,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,sv,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,sv,No,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,c,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,c,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,sv,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,c,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,c,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,o,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,c,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,o,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,sv,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,sv,No,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,o,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Non Stop,o,Yes,Yes,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,c,Yes,No,Cop
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,c,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Full Stop,o,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,o,Yes,No,
Mari,Tepper,1300-1500,1330,1345,4,04/03/17,Monday,1,Rain,Rolling Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,o,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Non Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Rolling Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Rolling Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,o,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,No,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Rolling Stop,sv,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,No,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Non Stop,sv,No,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,o,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Non Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Rolling Stop,sv,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Rolling Stop,o,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Non Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Non Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,o,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Rolling Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Non Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Rolling Stop,sv,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Rolling Stop,sv,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,c,No,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,sv,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Non Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Non Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,sv,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/04/17,Tuesday,1,Sunny,Full Stop,sv,Yes,No,
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,No,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,No,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,No,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,sv,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,sv,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,No,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,c,No,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,c,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,sv,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,o,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,o,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,No,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,sv,No,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,Yes,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Non Stop,c,No,Yes,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Full Stop,c,No,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,sv,Yes,No,Cop parked at Skibo
Mari,Donner,700-900,830,845,2,04/04/17,Tuesday,1,Cloudy,Rolling Stop,c,Yes,No,Cop parked at Skibo
